time 00h 48m 43s, episodes 4746, frames 0.5M, mean epr -443.77, run loss 2107.02
time 00h 48m 53s, episodes 4764, frames 0.5M, mean epr -434.13, run loss 2083.21
time 00h 49m 03s, episodes 4781, frames 0.5M, mean epr -428.38, run loss 2096.88
time 00h 49m 13s, episodes 4799, frames 0.5M, mean epr -436.10, run loss 2140.59
time 00h 49m 23s, episodes 4817, frames 0.5M, mean epr -424.68, run loss 2072.28
time 00h 49m 34s, episodes 4834, frames 0.5M, mean epr -422.61, run loss 2053.34
time 00h 49m 44s, episodes 4852, frames 0.5M, mean epr -436.61, run loss 2095.15
time 00h 49m 55s, episodes 4869, frames 0.5M, mean epr -437.59, run loss 2084.83
time 00h 50m 05s, episodes 4884, frames 0.5M, mean epr -434.41, run loss 2065.52
time 00h 50m 15s, episodes 4902, frames 0.5M, mean epr -440.51, run loss 2090.67
time 00h 50m 25s, episodes 4918, frames 0.5M, mean epr -441.81, run loss 2065.83
time 00h 50m 36s, episodes 4936, frames 0.5M, mean epr -446.12, run loss 2056.50
time 00h 50m 46s, episodes 4955, frames 0.5M, mean epr -446.80, run loss 2078.14
time 00h 50m 56s, episodes 4973, frames 0.5M, mean epr -441.16, run loss 2039.90
time 00h 51m 07s, episodes 4989, frames 0.6M, mean epr -445.69, run loss 2034.59
time 00h 51m 17s, episodes 5007, frames 0.6M, mean epr -464.00, run loss 2123.97
time 00h 51m 27s, episodes 5022, frames 0.6M, mean epr -473.52, run loss 2147.60
time 00h 51m 38s, episodes 5037, frames 0.6M, mean epr -468.14, run loss 2169.65
time 00h 51m 48s, episodes 5057, frames 0.6M, mean epr -464.96, run loss 2143.70
time 00h 51m 58s, episodes 5072, frames 0.6M, mean epr -473.08, run loss 2162.72
time 00h 52m 09s, episodes 5089, frames 0.6M, mean epr -477.34, run loss 2155.67
time 00h 52m 19s, episodes 5106, frames 0.6M, mean epr -483.33, run loss 2188.08
time 00h 52m 30s, episodes 5125, frames 0.6M, mean epr -479.12, run loss 2196.00
time 00h 52m 40s, episodes 5142, frames 0.6M, mean epr -478.10, run loss 2183.29
time 00h 52m 50s, episodes 5156, frames 0.6M, mean epr -482.71, run loss 2208.63
